Name,0/1_ratio_abs_divergence,nrow,x_dist_kl_divergence,y|x_cosine_similarity,auc_no_tl,aucpr_no_tl,auc_tl_no_update,aucpr_tl_no_update,auc_tl_update,aucpr_tl_update
wedding_trial 0,3.14121293,876,12.74050091,0.101191379,0.715543,0.296548,0.686096,0.248573,0.604888,0.211476
wedding_trial 1,3.43089547,876,9.613545113,0.197504261,0.663434,0.378685,0.679809,0.23189,0.542607,0.184216
wedding_trial 2,3.583935302,876,11.32131142,0.038818899,0.670988,0.34575,0.729982,0.309357,0.627249,0.267136
wedding_trial 3,3.583935302,876,9.210396903,0.161177905,0.67536,0.219616,0.667296,0.204525,0.59523,0.170262
wedding_trial 4,3.506700246,876,8.627546575,0.146118027,0.743563,0.444328,0.673369,0.22428,0.631481,0.216244
