Name,0/1_ratio_abs_divergence,nrow,x_dist_kl_divergence,y|x_cosine_similarity,auc_no_tl,aucpr_no_tl,auc_tl_no_update,aucpr_tl_no_update,auc_tl_update,aucpr_tl_update
credit_card trial 0,1.134178542,180723,0.476249278,0.955854036,0.719235,0.343482,0.722308,0.348856,0.722307,0.346505
credit_card trial 1,1.164075016,180723,0.47846146,0.958702773,0.720461,0.335579,0.725436,0.340919,0.724807,0.338308
credit_card trial 2,1.157467671,180723,0.469947215,0.954010543,0.710286,0.331565,0.71381,0.335252,0.713689,0.336897
credit_card trial 3,1.171076206,180723,0.464223389,0.951827145,0.72115,0.351459,0.725635,0.357949,0.723568,0.354295
credit_card trial 4,1.152569021,180723,0.480855895,0.935613688,0.716804,0.339056,0.7215,0.34543,0.720475,0.343801
