Name,0/1_ratio_abs_divergence,nrow,x_dist_kl_divergence,y|x_cosine_similarity,auc_no_tl,aucpr_no_tl,auc_tl_no_update,aucpr_tl_no_update,auc_tl_update,aucpr_tl_update
car_trial 0,1.554662599,7937,1.890542423,0.711449945,0.726238,0.31333,0.744668,0.367282,0.712065,0.28305
car_trial 1,1.689768307,7937,1.950283412,0.771703705,0.725094,0.271587,0.744071,0.301113,0.727543,0.27955
car_trial 2,1.669384358,7937,1.821832808,0.466244675,0.696155,0.260493,0.717618,0.318964,0.662589,0.238342
car_trial 3,1.472497537,7937,1.809989853,0.741447961,0.716462,0.284615,0.731089,0.311585,0.70842,0.278087
car_trial 4,1.798968032,7937,1.846409069,0.746886582,0.701876,0.265247,0.738703,0.326457,0.694489,0.248601
