Name,0/1_ratio_abs_divergence,nrow,x_dist_kl_divergence,y|x_cosine_similarity,auc_no_tl,aucpr_no_tl,auc_tl_no_update,aucpr_tl_no_update,auc_tl_update,aucpr_tl_update
major_purchase_trial 0,0.340130547,16532,1.119794888,0.799492665,0.719878,0.392565,0.724707,0.415217,0.720104,0.396534
major_purchase_trial 1,0.389394907,16532,1.127043361,0.898483899,0.714101,0.371874,0.723401,0.409677,0.720996,0.406668
major_purchase_trial 2,0.347764894,16532,1.123793408,0.898914878,0.713264,0.37396,0.721437,0.391385,0.715012,0.38186
major_purchase_trial 3,0.386287576,16532,1.075594231,0.858528793,0.735521,0.402194,0.742673,0.414996,0.736584,0.419338
major_purchase_trial 4,0.541515249,16532,1.108329591,0.916089905,0.724836,0.383816,0.734737,0.417457,0.728159,0.401763
