Name,0/1_ratio_abs_divergence,nrow,x_dist_kl_divergence,y|x_cosine_similarity,auc_no_tl,aucpr_no_tl,auc_tl_no_update,aucpr_tl_no_update,auc_tl_update,aucpr_tl_update
small_business_trial 0,1.366726882,7959,2.026652973,0.404799626,0.666259,0.47575,0.685987,0.475966,0.648833,0.450287
small_business_trial 1,1.388652366,7959,2.122961911,0.375220529,0.658699,0.489485,0.664691,0.479528,0.638915,0.455421
small_business_trial 2,1.463158245,7959,2.072707059,0.485488008,0.646603,0.460344,0.667427,0.471387,0.630826,0.434102
small_business_trial 3,1.408945605,7959,2.123510768,0.30601407,0.655402,0.450209,0.674585,0.492549,0.659041,0.471304
small_business_trial 4,1.369483528,7959,2.050089581,0.257318883,0.661961,0.46007,0.679193,0.480134,0.65605,0.441282
