Name,0/1_ratio_abs_divergence,nrow,x_dist_kl_divergence,y|x_cosine_similarity,auc_no_tl,aucpr_no_tl,auc_tl_no_update,aucpr_tl_no_update,auc_tl_update,aucpr_tl_update
vacation_trial 0,0.703632813,5400,4.29732529,0.562941494,0.667869,0.357588,0.665099,0.362642,0.652287,0.354053
vacation_trial 1,0.310542214,5400,3.952343198,0.633359187,0.698221,0.377864,0.698583,0.387303,0.678329,0.366493
vacation_trial 2,0.492198152,5400,4.48106611,0.569139152,0.648872,0.366176,0.670629,0.365299,0.6501,0.341224
vacation_trial 3,0.608716778,5400,4.049526669,0.567574694,0.699115,0.378271,0.692734,0.382211,0.690306,0.368866
vacation_trial 4,0.603541697,5400,4.767225335,0.632103609,0.665971,0.334792,0.674893,0.339419,0.646371,0.306223
