Name,0/1_ratio_abs_divergence,nrow,x_dist_kl_divergence,y|x_cosine_similarity,auc_no_tl,aucpr_no_tl,auc_tl_no_update,aucpr_tl_no_update,auc_tl_update,aucpr_tl_update
other_trial 0,0.067010969,45417,1.197212699,0.718982249,0.687842,0.362484,0.695379,0.381025,0.688541,0.377931
other_trial 1,0.092639884,45417,1.199853576,0.762917795,0.689092,0.369651,0.695872,0.380107,0.691548,0.377822
other_trial 2,0.038249166,45417,1.21127112,0.760351397,0.70807,0.393001,0.710002,0.403261,0.707779,0.395181
other_trial 3,0.026834494,45417,1.19989908,0.805089549,0.69421,0.371107,0.696608,0.37617,0.692212,0.370271
other_trial 4,0.035400751,45417,1.204573936,0.714266454,0.697095,0.38045,0.700599,0.381177,0.69766,0.37554
